"","State","Date","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"41","Alabama",2020-04-12,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for necessity goods","Ease restrictions for transporters"
"42","Alabama",2020-04-13,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Administrative hearing may be conducted by telephone or video conference without the parties being physically present"
"43","Alabama",2020-04-16,"Healthcare and public health capacity","Enhance laboratory testing capacity","Increase laboratory facilities","Drive-in testing facilities"
"44","Alabama",2020-04-24,"Risk communication","Actively communicate with managers","Direct government communication","To auto-insurers: share savings with consumers"
"45","Alabama",2020-04-28,"Travel restriction","National lockdown","Safer-at-home Order",NA
"46","Alabama",2020-04-30,"Risk communication","Educate and actively communicate with the public","Encourage stay at home",NA
"47","Alabama",2020-04-30,"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Recommendations for hand washing"
"48","Alabama",2020-04-30,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face masks"
"49","Alabama",2020-04-30,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for not touching eyes/nose/mouth"
"50","Alabama",2020-04-30,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"51","Alabama",2020-04-30,"Risk communication","Educate and actively communicate with the public","Encourage environmental disinfection","Disinfecting frequently used items and surfaces as much as possible"
"52","Alabama",2020-04-30,"Case identification, contact tracing and related measures","Isolation of cases","Place of residence",NA
"53","Alabama",2020-04-30,"Risk communication","Actively communicate with managers","Recommendations for work safety protocols","Implement social distancing, protective and disinfection measures"
"54","Alabama",2020-04-30,"Social distancing","Special measures for certain establishments","Establishments open to the public","Mandatory social distancing and hygienic measures"
"55","Alabama",2020-04-30,"Social distancing","Special measures for certain establishments","Non-essential shops","Closure on week-end"
"56","Alabama",2020-04-30,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"57","Alabama",2020-04-30,"Returning to normal life","Lift restriction on mass gatherings","Re-opening of public places","Re-open beaches"
"58","Alabama",2020-05-08,"Resource allocation","Crisis management plans","State aid, taxation and social security","Legal protection extended for essential workers"
"59","Alaska",2020-03-02,"Resource allocation","Crisis management plans","Financial aid for health system","funding of temporary positions in Department of Health and Social Services"
"60","Alaska",2020-03-02,"Resource allocation","Crisis management plans","Financial aid for health system","Preparedness and response"
"61","Alaska",2020-03-11,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"62","Alaska",2020-03-11,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"63","Alaska",2020-03-11,"Resource allocation","Police and army interventions","To support the population",NA
"64","Alaska",2020-03-12,"Case identification, contact tracing and related measures","Quarantine","Contact persons","14 day home quarantine"
"65","Alaska",2020-03-13,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Close long-term care facilities for visitors"
"66","Alaska",2020-03-13,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Visit restriction in prisons and youth detention centers"
"67","Alaska",2020-03-13,"Social distancing","Measures for special populations","Military Academy","Suspend public visitations to the Alaska Military Youth Academy"
"68","Alaska",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"69","Alaska",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"70","Alaska",2020-03-16,"Social distancing","Mass gathering cancellation","Cultural places and events","Libraries, archives, museums"
"71","Alaska",2020-03-17,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Global economic support to workers, employers and businesses"
"72","Alaska",2020-03-17,"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas",NA
"73","Alaska",2020-03-17,"Social distancing","Measures for special populations","Travelers coming from outside state/country","Respect 2m distance"
"74","Alaska",2020-03-18,"Social distancing","Mass gathering cancellation","Indoor activities","Hobby and leisure centres"
"75","Alaska",2020-03-18,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"76","Alaska",2020-03-19,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Total"
"77","Alaska",2020-03-19,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"78","Alaska",2020-03-19,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals","Dentistry practices"
"79","Alaska",2020-03-20,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"80","Alaska",2020-03-20,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"81","Alaska",2020-03-21,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
"82","Alaska",2020-03-24,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Partial"
"83","Alaska",2020-03-25,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"84","Alaska",2020-03-25,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"85","Alaska",2020-03-26,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"86","Alaska",2020-03-26,"Social distancing","Mass gathering cancellation","Implement e-learning","Increase internet speed for students"
"87","Alaska",2020-03-28,"Social distancing","Small gathering cancellation","Mandatory home office",NA
"88","Alaska",2020-03-28,"Case identification, contact tracing and related measures","Isolation of cases",NA,NA
"89","Alaska",2020-03-28,"Social distancing","Measures for special populations","People having outdoor activities","Respect 2m distance"
"90","Alaska",2020-03-28,"Social distancing","Small gathering cancellation","Complete prohibition of gathering","Bans on gathering of non-household members"
"91","Alaska",2020-03-28,"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Homeless people urged to seek shelter"
"92","Alaska",2020-03-28,"Risk communication","Actively communicate with managers","Recommendations for work safety protocols","For essential services and critical infrastructures"
"93","Alaska",2020-03-28,"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce social distancing"
"94","Alaska",2020-03-28,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","All"
"95","Alaska",2020-03-28,"Travel restriction","Individual movement restrictions","Non-essential travels abroad/out-of-state forbidden","Interstate travels forbidden"
"96","Alaska",2020-03-28,"Travel restriction","Individual movement restrictions","Movements for non-essential<U+00A0>activities forbidden","All people not engaged in essential activities"
"97","Alaska",2020-03-28,"Social distancing","Small gathering cancellation","Restriction on private and familial events","Prohibition of funerals and weddings"
"98","Alaska",2020-03-31,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
"99","Alaska",2020-04-02,"Risk communication","Educate and actively communicate with the public","Answer to questions","Corona dashboard"
"100","Alaska",2020-04-06,"Healthcare and public health capacity","Increase availability of PPE","PPE other than face masks","For rural communities"
"101","Alaska",2020-04-06,"Healthcare and public health capacity","Increase availability of PPE","Face masks","For rural communities"
"102","Alaska",2020-04-06,"Healthcare and public health capacity","Increase in medical supplies and equipment","Diverse medical materials and equipment","For rural communities"
"103","Alaska",2020-04-09,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"104","Alaska",2020-04-09,"Social distancing","Closure of educational institutions","Complete closure of all educational institutions",NA
"105","Alaska",2020-04-13,"Healthcare and public health capacity","Increase isolation and quarantine facilities","Quarantine centers","Short-term accommodations repurposed into quarantine facilities"
"106","Alaska",2020-04-14,"Social distancing","Special measures for certain establishments","Alcohol sellers","Alcoholic beverages can be delivered"
"107","Alaska",2020-04-20,"Returning to normal life","Access to non-essential/critical healthcare services","Re-opening of medical and paramedical centers","Resume services that require minimal protective equipment and safety protocols for pre-screening"
"108","Alaska",2020-04-21,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"109","Alaska",2020-04-23,"Returning to normal life","Lift travel restriction","Lift maritime restriction","Resume commercial fishing activity"
"110","Alaska",2020-04-24,"Returning to normal life","Lift restriction on small gatherings","Re-opening of certain shops","Barbers, nail salons, hairdressers"
"111","Alaska",2020-04-24,"Returning to normal life","Actively communicate with managers","Guidelines for re-opening short-term accommodations","Lodging and overnight camping"
"112","Alaska",2020-04-24,"Returning to normal life","Actively communicate with managers","Guidelines for re-opening gyms and fitness centers",NA
"113","Alaska",2020-04-24,"Returning to normal life","Actively communicate with managers","Guidelines for re-opening of educational institutions and leisure facilities","Childcare and day camps"
"114","Alaska",2020-05-04,"Returning to normal life","Access to non-essential/critical healthcare services","Re-opening of medical and paramedical centers","Resume non-urgent or elective procedure"
"115","Alaska",2020-05-08,"Returning to normal life","Lift restriction on small gatherings","Re-opening of restaurants/bars/cafes","50% capacity"
"116","Alaska",2020-05-08,"Returning to normal life","Lift restriction on mass gatherings","Re-opening of indoor sport facilities","Re-opening of swimming pools"
"117","Alaska",2020-05-08,"Returning to normal life","Lift restriction on small gatherings","Re-opening of certain shops","50% capacity"
"118","Arizona",2020-02-27,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"119","Arizona",2020-03-02,"Healthcare and public health capacity","Enhance laboratory testing capacity","Increase laboratory facilities","Certification of laboratory"
"120","Arizona",2020-03-04,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"121","Arizona",2020-03-11,"Resource allocation","Crisis management plans","Financial aid for health system","From CDC"
"122","Arizona",2020-03-11,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"123","Arizona",2020-03-12,"Resource allocation","Crisis management plans","Financial aid for health system","Public Health Emergency Fund"
"124","Arizona",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"125","Arizona",2020-03-16,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"126","Arizona",2020-03-17,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"127","Arizona",2020-03-19,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
"128","Arizona",2020-03-19,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"129","Arizona",2020-03-19,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"130","Arizona",2020-03-19,"Resource allocation","Police and army interventions","To support the population","To help for food provision"
"131","Arizona",2020-03-20,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"132","Arizona",2020-03-20,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"133","Arizona",2020-03-21,"Healthcare and public health capacity","Increase availability of PPE","PPE other than face masks","Shipment of more than 440,000 PPE"
"134","Arizona",2020-03-21,"Healthcare and public health capacity","Increase availability of PPE","Face masks","Shipment of more than 440,000 PPE"
"135","Arizona",2020-03-22,"Risk communication","Educate and actively communicate with the public","Answer to questions","Telephone hotline covid-19"
"136","Arizona",2020-03-23,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Expanded scope of practice of nurses/ physician assistant/anaesthesists/midwifes"
"137","Arizona",2020-03-23,"Case identification, contact tracing and related measures","Activate case notification","Mandatory report of test results by laboratories",NA
"138","Arizona",2020-03-23,"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Enable access to confidential patient information"
"139","Arizona",2020-03-23,"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients",NA
"140","Arizona",2020-03-24,"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"141","Arizona",2020-03-24,"Healthcare and public health capacity","Increase availability of PPE","Face masks",NA
"142","Arizona",2020-03-24,"Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","Face masks"
"143","Arizona",2020-03-24,"Resource allocation","The government provide assistance to vulnerable populations","Funds to expand support and services for vulnerable populations","Government support non-profit organisation to help the population"
"144","Arizona",2020-03-24,"Resource allocation","Crisis management plans","State aid, taxation and social security","Provide access to healthcare to vulnerable populations"
"145","Arizona",2020-03-25,"Resource allocation","Crisis management plans","Financial aid for health system",NA
"146","Arizona",2020-03-25,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Recruitment of healthcare workers on the frontline"
"147","Arizona",2020-03-25,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Health insurance companies cover the cost of telemedicine"
"148","Arizona",2020-03-25,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","Provide meals for older adults"
"149","Arizona",2020-03-26,"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Flexibility in bill payment for vulnerable customers"
"150","Arizona",2020-03-26,"Healthcare and public health capacity","Adapt procedures for patient management","Case management","Hospitals prepared to treat Covid-19 patients"
"151","Arizona",2020-03-26,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Reactivate license/renew license of healthcare workers"
"152","Arizona",2020-03-26,"Social distancing","Measures for special populations","Measures to limit contact to the elderly","Waive administrative requirements for the elderly"
"153","Arizona",2020-03-27,"Social distancing","Mass gathering cancellation","Implement e-learning",NA
"154","Arizona",2020-03-27,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"155","Arizona",2020-03-28,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"156","Arizona",2020-03-30,"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"157","Arizona",2020-03-30,"Travel restriction","National lockdown","Stay-at-home Order",NA
"158","Arizona",2020-03-30,"Risk communication","Educate and actively communicate with the public","Information campaign","Encourage social connectedness"
"159","Arizona",2020-03-30,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"160","Arizona",2020-03-30,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","Fund dedicated to food bank"
"161","Arizona",2020-03-31,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Partial or total deferral of tax payments for businesses"
"162","Arizona",2020-04-01,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"163","Arizona",2020-04-01,"Social distancing","Special measures for certain establishments","Veterinary clinics","Allow telemedicine for pets"
"164","Arizona",2020-04-01,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"165","Arizona",2020-04-02,"Risk communication","Educate and actively communicate with the public","Direct government communication","Live interview to answer questions"
"166","Arizona",2020-04-02,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Ease prescription renewal"
"167","Arizona",2020-04-03,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"168","Arizona",2020-04-04,"Healthcare and public health capacity","Increase availability of PPE","Face masks","Domestic production"
"169","Arizona",2020-04-04,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"170","Arizona",2020-04-06,"Resource allocation","Crisis management plans","State aid, taxation and social security","State supports childcare if parents are doing essential work"
"171","Arizona",2020-04-06,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Suspend evictions and foreclosures"
"172","Arizona",2020-04-07,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","Ease restrictions for transporters"
"173","Arizona",2020-04-07,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Ease restrictions for transporters"
"174","Arizona",2020-04-07,"Resource allocation","The government provide assistance to vulnerable populations","Funds to expand support and services for vulnerable populations","Government support non-profit organisation to help the population"
"175","Arizona",2020-04-07,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","By air"
"176","Arizona",2020-04-07,"Healthcare and public health capacity","Personal protective measures","Mandatory use of PPE","In hospitals and nursing homes"
"177","Arizona",2020-04-07,"Case identification, contact tracing and related measures","Enhance detection system","Health evaluation of visitors before access to specific institutions","Health check for people entering nursing homes and long term facilities"
"178","Arizona",2020-04-07,"Social distancing","Measures for special populations","Measures to limit contact to the elderly","Offer electronic means of communication in long-term facilities"
"179","Arizona",2020-04-07,"Case identification, contact tracing and related measures","Isolation of cases","Must be implemented in long-term care facilities",NA
"180","Arizona",2020-04-07,"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients","Data on patients and materials in long-term facilites"
"181","Arizona",2020-04-07,"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients","Data on patients and materials on hospitals"
"182","Arizona",2020-04-07,"Social distancing","Special measures for certain establishments","Grocery stores","Ease regulations on packaging and labelling of food"
"183","Arizona",2020-04-08,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","Food assistance program"
"184","Arizona",2020-04-08,"Social distancing","Mass gathering cancellation","Implement e-learning","Donate internet hotspots to students in need"
"185","Arizona",2020-04-09,"Healthcare and public health capacity","Increase healthcare workforce","Incentives for healthcare workers","Increase legal protection of healthcare professionals"
"186","Arizona",2020-04-09,"Healthcare and public health capacity","Increase patient capacity","Emergency hospitals","Reopening of a former hospital"
"187","Arizona",2020-04-10,"Resource allocation","Crisis management plans","Administrative procedures facilitated","Allow remote notarization"
"188","Arizona",2020-04-10,"Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators",NA
"189","Arizona",2020-04-13,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"190","Arizona",2020-04-14,"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test healthcare workers"
"191","Arizona",2020-04-15,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Open rest areas for interstate food trucks"
"192","Arizona",2020-04-17,"Healthcare and public health capacity","Increase availability of PPE","Face masks","Donation"
"193","Arizona",2020-04-21,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","To school students"
"194","Arizona",2020-04-22,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","To traditional peoples and communities"
"195","Arizona",2020-04-22,"Returning to normal life","Access to non-essential/critical healthcare services","Re-opening of medical and paramedical centers","Resume services that require minimal protective equipment and safety protocols for pre-screening"
"196","Arizona",2020-04-22,"Returning to normal life","Access to non-essential/critical healthcare services","Re-opening of medical and paramedical centers","Resume non-urgent or elective procedure"
"197","Arizona",2020-04-27,"Healthcare and public health capacity","Enhance laboratory testing capacity","Increase laboratory facilities","Extend testing capacity to private institutions"
"198","Arizona",2020-05-04,"Returning to normal life","Lift restriction on small gatherings","Re-opening of certain shops","With respect to social distancing"
"199","California",2020-02-27,"Risk communication","Educate and actively communicate with the public","Information campaign","Twitter: public briefings on State's response to covid-19"
"200","California",2020-03-04,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"201","California",2020-03-11,"Social distancing","Mass gathering cancellation","Limit up to 250 persons",NA
"202","California",2020-03-11,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"203","California",2020-03-16,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Advice for vulnerable populations"
"204","California",2020-03-16,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette",NA
"205","California",2020-03-16,"Risk communication","Educate and actively communicate with the public","Encourage hand hygiene",NA
"206","California",2020-03-16,"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"207","California",2020-03-17,"Resource allocation","Crisis management plans","Financial aid for health system","Financial aid to increase bed capacity in hospitals"
"208","California",2020-03-17,"Resource allocation","Police and army interventions","To support the population","Humanitarian missions"
"209","California",2020-03-18,"Resource allocation","The government provide assistance to vulnerable populations","Funds to expand support and services for vulnerable populations","Homeless persons"
"210","California",2020-03-18,"Risk communication","Educate and actively communicate with the public","Answer to questions","Official webpage with COVID-19 information"
"211","California",2020-03-19,"Travel restriction","National lockdown","Stay-at-home Order",NA
"212","California",2020-03-19,"Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","Prioritize PPE distribution to healthcare professionals"
"213","California",2020-03-19,"Healthcare and public health capacity","Adapt procedures for patient management","Implement triage procedures","Prioritize care"
"214","California",2020-03-20,"Risk communication","Educate and actively communicate with the public","Foster community assistance","Call for volunteers to food banks"
"215","California",2020-03-20,"Social distancing","Mass gathering cancellation","Measures for elections","Extended vote-by-mail procedures for elections"
"216","California",2020-03-21,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Reduction of visits"
"217","California",2020-03-21,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"218","California",2020-03-21,"Resource allocation","Crisis management plans","Financial aid for health system",NA
"219","California",2020-03-21,"Healthcare and public health capacity","Adapt procedures for patient management","Case management","Hospitals prepared to treat Covid-19 patients"
"220","California",2020-03-21,"Healthcare and public health capacity","Increase in medical supplies and equipment","Diverse medical materials and equipment","Ventilators and IV fusion pumps"
"221","California",2020-03-21,"Healthcare and public health capacity","Increase availability of PPE","PPE other than face masks",NA
"222","California",2020-03-21,"Healthcare and public health capacity","Increase availability of PPE","Face masks",NA
"223","California",2020-03-22,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"224","California",2020-03-25,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Stop intake and transfer of prisoners"
"225","California",2020-03-25,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Distance court hearings and depositions"
"226","California",2020-03-25,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax and loan relief measures"
"227","California",2020-03-27,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"228","California",2020-03-27,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"229","California",2020-03-27,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Distance court hearings and depositions"
"230","California",2020-03-28,"Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators","Domestic production"
"231","California",2020-03-28,"Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","Domestic production"
"232","California",2020-03-28,"Healthcare and public health capacity","Increase availability of PPE","Hand sanitizers","For vulnerable populations"
"233","California",2020-03-29,"Risk communication","Educate and actively communicate with the public","Information campaign","Partnership with leading social media companies, businesses, leaders, and individuals from across the state"
"234","California",2020-03-30,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Recruitment of healthcare workers on the frontline"
"235","California",2020-03-30,"Healthcare and public health capacity","Increase patient capacity","Beds",NA
"236","California",2020-03-30,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Partial or total deferral of tax payments for businesses"
"237","California",2020-03-30,"Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Government workers (administration)"
"238","California",2020-03-31,"Risk communication","Educate and actively communicate with the public","Communication targets protection of vulnerable populations","Campaign for protecting the elderly"
"239","California",2020-03-31,"Risk communication","Educate and actively communicate with the public","Answer to questions","Telephone hotline covid-19"
"240","California",2020-03-31,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend the elderly to stay at home"
"241","California",2020-04-01,"Social distancing","Mass gathering cancellation","Implement e-learning",NA
"242","California",2020-04-01,"Social distancing","Mass gathering cancellation","Implement e-learning","Mobile hotspots and Chromebooks in rural areas"
"243","California",2020-04-01,"Resource allocation","Crisis management plans","Financial aid for health system",NA
"244","California",2020-04-02,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
